Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,131.3,2025,août
02 - Boissons alcoolisées et tabac,145.0,2025,août
03 - Articles d'habillements et chaussures,117.1,2025,août
"04 - Logements, eau, électricité et autres combustibles",109.4,2025,août
"05 - Meubles, articles de ménages et entretien courant du foyer",112.9,2025,août
06 - Santé,101.4,2025,août
07 - Transport,117.2,2025,août
08 - Communication,103.9,2025,août
09 - Loisirs et culture,104.8,2025,août
10 - Enseignement,121.8,2025,août
11 - Restaurants et hôtels,122.6,2025,août
12 - Biens et services divers,117.1,2025,août
Ensemble,120.0,2025,août
Produits alimentaires,131.8,2025,août
Produits non alimentaires,112.3,2025,août
