Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,122.8,2013,octobre
02 - Boissons alcoolisées et tabac,115.6,2013,octobre
03 - Articles d'habillements et chaussures,110.7,2013,octobre
"04 - Logements, eau, électricité et autres combustibles",107.0,2013,octobre
"05 - Meubles, articles de ménages et entretien courant du foyer",107.6,2013,octobre
06 – Santé,105.0,2013,octobre
07 – Transport,111.0,2013,octobre
08 – Communication,59.5,2013,octobre
09 - Loisirs et culture,97.3,2013,octobre
10 – Enseignement,134.1,2013,octobre
11 - Restaurants et hôtels,118.1,2013,octobre
12 - Biens et services divers,112.4,2013,octobre
Ensemble,113.7,2013,octobre
Produits alimentaires,122.5,2013,octobre
Produits non alimentaires,107.5,2013,octobre
