Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,99.8,2020,décembre
02 - Boissons alcoolisées et tabac,122.6,2020,décembre
03 - Articles d'habillements et chaussures,103.6,2020,décembre
"04 - Logements, eau, électricité et autres combustibles",102.0,2020,décembre
"05 - Meubles, articles de ménages et entretien courant du foyer",101.0,2020,décembre
06 – Santé,101.7,2020,décembre
07 – Transport,103.1,2020,décembre
08 – Communication,103.9,2020,décembre
09 - Loisirs et culture,99.1,2020,décembre
10 – Enseignement,110.3,2020,décembre
11 - Restaurants et hôtels,104.1,2020,décembre
12 - Biens et services divers,104.2,2020,décembre
Ensemble,102.2,2020,décembre
Produits alimentaires,100.7,2020,décembre
Produits non alimentaires,103.2,2020,décembre
