Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,131.6,2025,janvier
02 - Boissons alcoolisées et tabac,144.0,2025,janvier
03 - Articles d'habillements et chaussures,116.4,2025,janvier
"04 - Logements, eau, électricité et autres combustibles",108.9,2025,janvier
"05 - Meubles,articles de ménages et entretien courant du foyer",112.3,2025,janvier
06 - Santé,101.2,2025,janvier
07 - Transport,117.3,2025,janvier
08 - Communication,104.1,2025,janvier
09 - Loisirs et culture,105.3,2025,janvier
10 - Enseignement,121.8,2025,janvier
11 - Restaurants et hôtels,119.8,2025,janvier
12 - Biens et services divers,115.9,2025,janvier
Ensemble,119.9,2025,janvier
Produits alimentaires,132.0,2025,janvier
Produits non alimentaires,112.0,2025,janvier
