Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,131.4,2025,mars
02 - Boissons alcoolisées et tabac,144.0,2025,mars
03 - Articles d'habillements et chaussures,116.9,2025,mars
"04 - Logements, eau, électricité et autres combustibles",109.1,2025,mars
"05 - Meubles,articles de ménages et entretien courant du foyer",112.6,2025,mars
06 - Santé,101.4,2025,mars
07 - Transport,117.5,2025,mars
08 - Communication,104.0,2025,mars
09 - Loisirs et culture,105.1,2025,mars
10 - Enseignement,121.8,2025,mars
11 - Restaurants et hôtels,120.1,2025,mars
12 - Biens et services divers,116.4,2025,mars
Ensemble,119.9,2025,mars
Produits alimentaires,131.9,2025,mars
Produits non alimentaires,112.2,2025,mars
