Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,123.8,2015,juillet
02 - Boissons alcoolisées et tabac,122.7,2015,juillet
03 - Articles d'habillements et chaussures,112.9,2015,juillet
"04 - Logements, eau, électricité et autres combustibles",112.8,2015,juillet
"05 - Meubles, articles de ménages et entretien courant du foyer",108.5,2015,juillet
06 - Santé,104.3,2015,juillet
07 - Transport,110.9,2015,juillet
08 - Communication,59.6,2015,juillet
09 - Loisirs et culture,96.8,2015,juillet
10 - Enseignement,138.5,2015,juillet
11 - Restaurants et hôtels,122.7,2015,juillet
12 - Biens et services divers,114.2,2015,juillet
Ensemble,115.6,2015,juillet
Produits alimentaires,123.8,2015,juillet
Produits non alimentaires,109.8,2015,juillet
