Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,129.8,2024,avril
02 - Boissons alcoolisées et tabac,139.9,2024,avril
03 - Articles d'habillements et chaussures,116.1,2024,avril
"04 - Logements, eau, électricité et autres combustibles",105.3,2024,avril
"05 - Meubles,articles de ménages et entretien courant du foyer",112.2,2024,avril
06 - Santé,101.1,2024,avril
07 - Transport,121.2,2024,avril
08 - Communication,104.1,2024,avril
09 - Loisirs et culture,105.8,2024,avril
10 - Enseignement,119.1,2024,avril
11 - Restaurants et hôtels,115.6,2024,avril
12 - Biens et services divers,114.8,2024,avril
Ensemble,118.7,2024,avril
Produits alimentaires,130.2,2024,avril
Produits non alimentaires,111.2,2024,avril
