Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,122.0,2013,janvier
02 - Boissons alcoolisées et tabac,108.5,2013,janvier
03 - Articles d'habillements et chaussures,109.4,2013,janvier
"04 - Logements, eau, électricité et autres combustibles",105.8,2013,janvier
"05 - Meubles,articles de ménages et entretien courant du foyer",107.3,2013,janvier
06 – Santé,104.2,2013,janvier
07 – Transport,109.1,2013,janvier
08 – Communication,65.5,2013,janvier
09 - Loisirs et culture,97.3,2013,janvier
10 – Enseignement,129.6,2013,janvier
11 - Restaurants et hôtels,115.1,2013,janvier
12 - Biens et services divers,111.3,2013,janvier
Ensemble,112.6,2013,janvier
Produits alimentaires,121.3,2013,janvier
Produits non alimentaires,106.5,2013,janvier
