Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,128.5,2024,mars
02 - Boissons alcoolisées et tabac,139.9,2024,mars
03 - Articles d'habillements et chaussures,115.7,2024,mars
"04 - Logements, eau, électricité et autres combustibles",105.2,2024,mars
"05 - Meubles, articles de ménages et entretien courant du foyer",112.1,2024,mars
06 - Santé,101.0,2024,mars
07 - Transport,120.4,2024,mars
08 - Communication,104.1,2024,mars
09 - Loisirs et culture,105.6,2024,mars
10 - Enseignement,119.1,2024,mars
11 - Restaurants et hôtels,115.6,2024,mars
12 - Biens et services divers,114.4,2024,mars
Ensemble,118.0,2024,mars
Produits alimentaires,129.0,2024,mars
Produits non alimentaires,111.0,2024,mars
