Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,129.5,2024,décembre
02 - Boissons alcoolisées et tabac,140.1,2024,décembre
03 - Articles d'habillements et chaussures,116.5,2024,décembre
"04 - Logements, eau, électricité et autres combustibles",108.9,2024,décembre
"05 - Meubles, articles de ménages et entretien courant du foyer",112.4,2024,décembre
06 - Santé,101.2,2024,décembre
07 - Transport,117.4,2024,décembre
08 - Communication,104.2,2024,décembre
09 - Loisirs et culture,105.4,2024,décembre
10 - Enseignement,121.8,2024,décembre
11 - Restaurants et hôtels,119.5,2024,décembre
12 - Biens et services divers,115.9,2024,décembre
Ensemble,119.0,2024,décembre
Produits alimentaires,129.9,2024,décembre
Produits non alimentaires,112.0,2024,décembre
