Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,128.0,2016,juin
02 - Boissons alcoolisées et tabac,122.7,2016,juin
03 - Articles d'habillements et chaussures,113.9,2016,juin
"04 - Logements, eau, électricité et autres combustibles",113.9,2016,juin
"05 - Meubles, articles de ménages et entretien courant du foyer",109.1,2016,juin
06 - Santé,104.5,2016,juin
07 - Transport,110.2,2016,juin
08 - Communication,59.5,2016,juin
09 - Loisirs et culture,98.4,2016,juin
10 - Enseignement,141.4,2016,juin
11 - Restaurants et hôtels,125.6,2016,juin
12 - Biens et services divers,114.3,2016,juin
Ensemble,117.6,2016,juin
Produits alimentaires,127.7,2016,juin
Produits non alimentaires,110.5,2016,juin
