Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,126.4,2016,mars
02 - Boissons alcoolisées et tabac,122.7,2016,mars
03 - Articles d'habillements et chaussures,113.9,2016,mars
"04 - Logements, eau, électricité et autres combustibles",113.8,2016,mars
"05 - Meubles, articles de ménages et entretien courant du foyer",108.9,2016,mars
06 - Santé,104.3,2016,mars
07 - Transport,107.3,2016,mars
08 - Communication,59.5,2016,mars
09 - Loisirs et culture,97.4,2016,mars
10 - Enseignement,141.4,2016,mars
11 - Restaurants et hôtels,124.2,2016,mars
12 - Biens et services divers,114.2,2016,mars
Ensemble,116.6,2016,mars
Produits alimentaires,126.2,2016,mars
Produits non alimentaires,109.7,2016,mars
