Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,127.5,2025,décembre
02 - Boissons alcoolisées et tabac,145.0,2025,décembre
03 - Articles d'habillements et chaussures,117.5,2025,décembre
"04 - Logements, eau, électricité et autres combustibles",109.6,2025,décembre
"05 - Meubles, articles de ménages et entretien courant du foyer",113.2,2025,décembre
06 - Santé,101.5,2025,décembre
07 - Transport,115.7,2025,décembre
08 - Communication,103.8,2025,décembre
09 - Loisirs et culture,104.9,2025,décembre
10 - Enseignement,124.4,2025,décembre
11 - Restaurants et hôtels,122.8,2025,décembre
12 - Biens et services divers,117.9,2025,décembre
Ensemble,118.7,2025,décembre
Produits alimentaires,128.2,2025,décembre
Produits non alimentaires,112.5,2025,décembre
