Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,127.4,2023,mars
02 - Boissons alcoolisées et tabac,136.7,2023,mars
03 - Articles d'habillements et chaussures,112.7,2023,mars
"04 - Logements, eau, électricité et autres combustibles",104.4,2023,mars
"05 - Meubles,articles de ménages et entretien courant du foyer",110.6,2023,mars
06 - Santé,102.2,2023,mars
07 - Transport,119.1,2023,mars
08 - Communication,104.3,2023,mars
09 - Loisirs et culture,106.1,2023,mars
10 - Enseignement,116.7,2023,mars
11 - Restaurants et hôtels,111.9,2023,mars
12 - Biens et services divers,111.9,2023,mars
Ensemble,116.9,2023,mars
Produits alimentaires,127.8,2023,mars
Produits non alimentaires,109.8,2023,mars
