Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,132.4,2025,février
02 - Boissons alcoolisées et tabac,144.0,2025,février
03 - Articles d'habillements et chaussures,116.5,2025,février
"04 - Logements, eau, électricité et autres combustibles",108.9,2025,février
"05 - Meubles, articles de ménages et entretien courant du foyer",112.5,2025,février
06 - Santé,101.4,2025,février
07 - Transport,118.2,2025,février
08 - Communication,104.1,2025,février
09 - Loisirs et culture,105.2,2025,février
10 - Enseignement,121.8,2025,février
11 - Restaurants et hôtels,120.0,2025,février
12 - Biens et services divers,116.0,2025,février
Ensemble,120.3,2025,février
Produits alimentaires,132.8,2025,février
Produits non alimentaires,112.2,2025,février
