Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,130.3,2017,décembre
02 - Boissons alcoolisées et tabac,125.3,2017,décembre
03 - Articles d'habillements et chaussures,116.6,2017,décembre
"04 - Logements, eau, électricité et autres combustibles",115.6,2017,décembre
"05 - Meubles, articles de ménages et entretien courant du foyer",110.0,2017,décembre
06 – Santé,105.5,2017,décembre
07 – Transport,111.3,2017,décembre
08 – Communication,59.4,2017,décembre
09 - Loisirs et culture,98.9,2017,décembre
10 – Enseignement,148.4,2017,décembre
11 - Restaurants et hôtels,130.6,2017,décembre
12 - Biens et services divers,115.7,2017,décembre
Ensemble,119.7,2017,décembre
Produits alimentaires,130.1,2017,décembre
Produits non alimentaires,112.3,2017,décembre
