Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,103.6,2021,mai
02 - Boissons alcoolisées et tabac,125.4,2021,mai
03 - Articles d'habillements et chaussures,104.6,2021,mai
"04 - Logements, eau, électricité et autres combustibles",102.5,2021,mai
"05 - Meubles, articles de ménages et entretien courant du foyer",101.6,2021,mai
06 - Santé,101.8,2021,mai
07 - Transport,105.0,2021,mai
08 - Communication,103.7,2021,mai
09 - Loisirs et culture,100.0,2021,mai
10 - Enseignement,110.3,2021,mai
11 - Restaurants et hôtels,104.3,2021,mai
12 - Biens et services divers,105.3,2021,mai
Ensemble,104.1,2021,mai
Produits alimentaires,104.4,2021,mai
Produits non alimentaires,103.9,2021,mai
