Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,119.5,2014,juin
02 - Boissons alcoolisées et tabac,116.4,2014,juin
03 - Articles d'habillements et chaussures,111.6,2014,juin
"04 - Logements, eau, électricité et autres combustibles",107.5,2014,juin
"05 - Meubles, articles de ménages et entretien courant du foyer",108.4,2014,juin
06 - Santé,103.3,2014,juin
07 - Transport,113.2,2014,juin
08 - Communication,59.5,2014,juin
09 - Loisirs et culture,96.4,2014,juin
10 - Enseignement,134.2,2014,juin
11 - Restaurants et hôtels,119.5,2014,juin
12 - Biens et services divers,113.4,2014,juin
Ensemble,112.8,2014,juin
Produits alimentaires,119.3,2014,juin
Produits non alimentaires,108.2,2014,juin
