Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,128.2,2019,mai
02 - Boissons alcoolisées et tabac,159.4,2019,mai
03 - Articles d'habillements et chaussures,117.8,2019,mai
"04 - Logements, eau, électricité et autres combustibles",117.2,2019,mai
"05 - Meubles, articles de ménages et entretien courant du foyer",112.3,2019,mai
06 - Santé,106.6,2019,mai
07 - Transport,113.2,2019,mai
08 - Communication,59.6,2019,mai
09 - Loisirs et culture,100.9,2019,mai
10 - Enseignement,153.5,2019,mai
11 - Restaurants et hôtels,133.0,2019,mai
12 - Biens et services divers,123.3,2019,mai
Ensemble,121.0,2019,mai
Produits alimentaires,129.4,2019,mai
Produits non alimentaires,114.7,2019,mai
