Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,119.9,2014,août
02 - Boissons alcoolisées et tabac,116.3,2014,août
03 - Articles d'habillements et chaussures,112.3,2014,août
"04 - Logements, eau, électricité et autres combustibles",111.0,2014,août
"05 - Meubles, articles de ménages et entretien courant du foyer",108.5,2014,août
06 - Santé,103.7,2014,août
07 - Transport,113.4,2014,août
08 - Communication,59.5,2014,août
09 - Loisirs et culture,96.3,2014,août
10 - Enseignement,134.2,2014,août
11 - Restaurants et hôtels,120.0,2014,août
12 - Biens et services divers,113.4,2014,août
Ensemble,113.6,2014,août
Produits alimentaires,119.7,2014,août
Produits non alimentaires,109.2,2014,août
