Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,122.1,2023,janvier
02 - Boissons alcoolisées et tabac,136.7,2023,janvier
03 - Articles d'habillements et chaussures,112.3,2023,janvier
"04 - Logements, eau, électricité et autres combustibles",104.2,2023,janvier
"05 - Meubles,articles de ménages et entretien courant du foyer",110.1,2023,janvier
06 - Santé,102.1,2023,janvier
07 - Transport,120.5,2023,janvier
08 - Communication,104.3,2023,janvier
09 - Loisirs et culture,105.9,2023,janvier
10 - Enseignement,116.7,2023,janvier
11 - Restaurants et hôtels,110.9,2023,janvier
12 - Biens et services divers,111.5,2023,janvier
Ensemble,114.9,2023,janvier
Produits alimentaires,122.6,2023,janvier
Produits non alimentaires,109.9,2023,janvier
