Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,123.8,2016,février
02 - Boissons alcoolisées et tabac,122.7,2016,février
03 - Articles d'habillements et chaussures,113.9,2016,février
"04 - Logements, eau, électricité et autres combustibles",113.7,2016,février
"05 - Meubles, articles de ménages et entretien courant du foyer",108.9,2016,février
06 - Santé,104.3,2016,février
07 - Transport,106.8,2016,février
08 - Communication,59.5,2016,février
09 - Loisirs et culture,97.5,2016,février
10 - Enseignement,141.4,2016,février
11 - Restaurants et hôtels,124.2,2016,février
12 - Biens et services divers,114.2,2016,février
Ensemble,115.5,2016,février
Produits alimentaires,123.7,2016,février
Produits non alimentaires,109.6,2016,février
