Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,117.1,2012,avril
02 - Boissons alcoolisées et tabac,108.4,2012,avril
03 - Articles d'habillements et chaussures,107.9,2012,avril
"04 - Logements, eau, électricité et autres combustibles",105.2,2012,avril
"05 - Meubles, articles de ménages et entretien courant du foyer",107.3,2012,avril
06 - Santé,103.7,2012,avril
07 - Transport,103.6,2012,avril
08 - Communication,71.7,2012,avril
09 - Loisirs et culture,96.3,2012,avril
10 - Enseignement,122.1,2012,avril
11 - Restaurants et hôtels,112.9,2012,avril
12 - Biens et services divers,110.5,2012,avril
Ensemble,109.7,2012,avril
Produits alimentaires,116.7,2012,avril
Produits non alimentaires,104.8,2012,avril
