Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,128.6,2018,avril
02 - Boissons alcoolisées et tabac,138.5,2018,avril
03 - Articles d'habillements et chaussures,116.0,2018,avril
"04 - Logements, eau, électricité et autres combustibles",116.0,2018,avril
"05 - Meubles, articles de ménages et entretien courant du foyer",110.3,2018,avril
06 - Santé,105.6,2018,avril
07 - Transport,111.8,2018,avril
08 - Communication,59.4,2018,avril
09 - Loisirs et culture,99.5,2018,avril
10 - Enseignement,148.4,2018,avril
11 - Restaurants et hôtels,131.8,2018,avril
12 - Biens et services divers,122.7,2018,avril
Ensemble,120.0,2018,avril
Produits alimentaires,129.0,2018,avril
Produits non alimentaires,113.5,2018,avril
