Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,129.8,2024,novembre
02 - Boissons alcoolisées et tabac,140.2,2024,novembre
03 - Articles d'habillements et chaussures,116.6,2024,novembre
"04 - Logements, eau, électricité et autres combustibles",108.8,2024,novembre
"05 - Meubles, articles de ménages et entretien courant du foyer",112.3,2024,novembre
06 - Santé,101.3,2024,novembre
07 - Transport,117.6,2024,novembre
08 - Communication,104.1,2024,novembre
09 - Loisirs et culture,105.5,2024,novembre
10 - Enseignement,121.8,2024,novembre
11 - Restaurants et hôtels,119.2,2024,novembre
12 - Biens et services divers,115.8,2024,novembre
Ensemble,119.2,2024,novembre
Produits alimentaires,130.2,2024,novembre
Produits non alimentaires,112.0,2024,novembre
