Division par produits,ipc,annee,mois
Produits alimentaires,113.3,2011,juin
01 - Produits alimentaires et boissons non alcoolisées,113.5,2011,juin
02 - Boissons alcoolisées et tabac,108.3,2011,juin
Produits non alimentaires,104.8,2011,juin
03 - Articles d'habillements et chaussures,105.3,2011,juin
"04 - Logements, eau, électricité et autres combustibles",104.7,2011,juin
"05 - Meubles, articles de ménages et entretien courant du foyer",107.1,2011,juin
06 - Santé,103.0,2011,juin
07 - Transport,102.9,2011,juin
08 - Communications,89.2,2011,juin
09 - Loisirs et culture,96.3,2011,juin
10 - Enseignement,118.5,2011,juin
11 - Restaurants et hôtels,111.2,2011,juin
12 - Biens et services divers,108.8,2011,juin
Ensemble,108.3,2011,juin
