Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,103.3,2020,octobre
02 - Boissons alcoolisées et tabac,122.6,2020,octobre
03 - Articles d'habillements et chaussures,102.7,2020,octobre
"04 - Logements, eau, électricité et autres combustibles",102.0,2020,octobre
"05 - Meubles,articles de ménages et entretien courant du foyer",101.0,2020,octobre
06 - Santé,101.6,2020,octobre
07 - Transport,102.2,2020,octobre
08 - Communication,104.0,2020,octobre
09 - Loisirs et culture,99.2,2020,octobre
10 - Enseignement,110.3,2020,octobre
11 - Restaurants et hôtels,103.9,2020,octobre
12 - Biens et services divers,104.1,2020,octobre
Ensemble,103.4,2020,octobre
Produits alimentaires,104.0,2020,octobre
Produits non alimentaires,103.0,2020,octobre
