Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,126.4,2024,février
02 - Boissons alcoolisées et tabac,139.9,2024,février
03 - Articles d'habillements et chaussures,115.2,2024,février
"04 - Logements, eau, électricité et autres combustibles",105.2,2024,février
"05 - Meubles, articles de ménages et entretien courant du foyer",112.0,2024,février
06 - Santé,101.0,2024,février
07 - Transport,120.3,2024,février
08 - Communication,104.1,2024,février
09 - Loisirs et culture,105.3,2024,février
10 - Enseignement,119.1,2024,février
11 - Restaurants et hôtels,115.7,2024,février
12 - Biens et services divers,114.0,2024,février
Ensemble,117.2,2024,février
Produits alimentaires,126.9,2024,février
Produits non alimentaires,110.9,2024,février
