Division par produits,ipc,annee,mois
Produits alimentaires,120.1,2012,novembre
01 - Produits alimentaires et boissons non alcoolisées,120.7,2012,novembre
02 - Boissons alcoolisées et tabac,108.5,2012,novembre
Produits non alimentaires,106.2,2012,novembre
03 - Articles d'habillements et chaussures,108.9,2012,novembre
"04 - Logements, eau, électricité et autres combustibles",105.5,2012,novembre
"05 - Meubles, articles de ménages et entretien courant du foyer",107.0,2012,novembre
06 - Santé,103.9,2012,novembre
07 - Transport,108.5,2012,novembre
08 - Communication,65.6,2012,novembre
09 - Loisirs et culture,97.4,2012,novembre
10 - Enseignement,129.6,2012,novembre
11 - Restaurants et hôtels,114.9,2012,novembre
12 - Biens et services divers,111.0,2012,novembre
Ensemble,111.9,2012,novembre
