Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,104.3,2021,octobre
02 - Boissons alcoolisées et tabac,125.5,2021,octobre
03 - Articles d'habillements et chaussures,105.8,2021,octobre
"04 - Logements, eau, électricité et autres combustibles",102.9,2021,octobre
"05 - Meubles, articles de ménages et entretien courant du foyer",102.5,2021,octobre
06 - Santé,101.8,2021,octobre
07 - Transport,108.5,2021,octobre
08 - Communication,103.6,2021,octobre
09 - Loisirs et culture,100.7,2021,octobre
10 - Enseignement,111.8,2021,octobre
11 - Restaurants et hôtels,104.9,2021,octobre
12 - Biens et services divers,108.5,2021,octobre
Ensemble,105.2,2021,octobre
Produits alimentaires,105.1,2021,octobre
Produits non alimentaires,105.3,2021,octobre
