Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,99.6,2021,février
02 - Boissons alcoolisées et tabac,125.4,2021,février
03 - Articles d'habillements et chaussures,103.6,2021,février
"04 - Logements, eau, électricité et autres combustibles",102.0,2021,février
"05 - Meubles, articles de ménages et entretien courant du foyer",101.0,2021,février
06 - Santé,101.6,2021,février
07 - Transport,104.7,2021,février
08 - Communication,103.8,2021,février
09 - Loisirs et culture,99.6,2021,février
10 - Enseignement,110.3,2021,février
11 - Restaurants et hôtels,104.1,2021,février
12 - Biens et services divers,104.4,2021,février
Ensemble,102.4,2021,février
Produits alimentaires,100.6,2021,février
Produits non alimentaires,103.5,2021,février
