Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,128.1,2017,septembre
02 - Boissons alcoolisées et tabac,125.3,2017,septembre
03 - Articles d'habillements et chaussures,115.8,2017,septembre
"04 - Logements, eau, électricité et autres combustibles",115.4,2017,septembre
"05 - Meubles, articles de ménages et entretien courant du foyer",109.9,2017,septembre
06 - Santé,105.3,2017,septembre
07 - Transport,110.7,2017,septembre
08 - Communication,59.4,2017,septembre
09 - Loisirs et culture,98.8,2017,septembre
10 - Enseignement,148.4,2017,septembre
11 - Restaurants et hôtels,130.7,2017,septembre
12 - Biens et services divers,115.6,2017,septembre
Ensemble,118.7,2017,septembre
Produits alimentaires,128.0,2017,septembre
Produits non alimentaires,112.1,2017,septembre
