Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,124.9,2019,février
02 - Boissons alcoolisées et tabac,159.4,2019,février
03 - Articles d'habillements et chaussures,117.4,2019,février
"04 - Logements, eau, électricité et autres combustibles",117.0,2019,février
"05 - Meubles, articles de ménages et entretien courant du foyer",112.1,2019,février
06 - Santé,106.6,2019,février
07 - Transport,109.9,2019,février
08 - Communication,59.6,2019,février
09 - Loisirs et culture,100.0,2019,février
10 - Enseignement,153.5,2019,février
11 - Restaurants et hôtels,133.0,2019,février
12 - Biens et services divers,123.0,2019,février
Ensemble,119.5,2019,février
Produits alimentaires,126.2,2019,février
Produits non alimentaires,114.2,2019,février
