Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,120.5,2022,décembre
02 - Boissons alcoolisées et tabac,129.8,2022,décembre
03 - Articles d'habillements et chaussures,112.1,2022,décembre
"04 - Logements, eau, électricité et autres combustibles",104.2,2022,décembre
"05 - Meubles, articles de ménages et entretien courant du foyer",109.9,2022,décembre
06 - Santé,102.0,2022,décembre
07 - Transport,122.1,2022,décembre
08 - Communication,104.3,2022,décembre
09 - Loisirs et culture,106.0,2022,décembre
10 - Enseignement,116.7,2022,décembre
11 - Restaurants et hôtels,110.5,2022,décembre
12 - Biens et services divers,111.2,2022,décembre
Ensemble,114.3,2022,décembre
Produits alimentaires,120.9,2022,décembre
Produits non alimentaires,110.0,2022,décembre
