Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,127.8,2016,août
02 - Boissons alcoolisées et tabac,122.7,2016,août
03 - Articles d'habillements et chaussures,113.9,2016,août
"04 - Logements, eau, électricité et autres combustibles",114.0,2016,août
"05 - Meubles, articles de ménages et entretien courant du foyer",109.2,2016,août
06 - Santé,104.5,2016,août
07 - Transport,108.8,2016,août
08 - Communication,59.5,2016,août
09 - Loisirs et culture,98.6,2016,août
10 - Enseignement,141.4,2016,août
11 - Restaurants et hôtels,126.3,2016,août
12 - Biens et services divers,114.4,2016,août
Ensemble,117.4,2016,août
Produits alimentaires,127.5,2016,août
Produits non alimentaires,110.3,2016,août
