Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,130.5,2025,avril
02 - Boissons alcoolisées et tabac,145.0,2025,avril
03 - Articles d'habillements et chaussures,117.0,2025,avril
"04 - Logements, eau, électricité et autres combustibles",109.2,2025,avril
"05 - Meubles, articles de ménages et entretien courant du foyer",112.7,2025,avril
06 - Santé,101.4,2025,avril
07 - Transport,116.3,2025,avril
08 - Communication,104.0,2025,avril
09 - Loisirs et culture,104.9,2025,avril
10 - Enseignement,121.8,2025,avril
11 - Restaurants et hôtels,120.7,2025,avril
12 - Biens et services divers,116.5,2025,avril
Ensemble,119.5,2025,avril
Produits alimentaires,131.1,2025,avril
Produits non alimentaires,112.0,2025,avril
