Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,118.9,2011,septembre
02 - Boissons alcoolisées et tabac,108.3,2011,septembre
03 - Articles d'habillement et chaussures,106.6,2011,septembre
"04 - Logement, eau, électricité et autres combustibles",104.8,2011,septembre
"05 - Meubles, articles de ménage et entretien courant du foyer",107.4,2011,septembre
06 - Santé,103.0,2011,septembre
07 - Transport,103.2,2011,septembre
08 - Communications,78.1,2011,septembre
09 - Loisirs et culture,96.2,2011,septembre
10 - Enseignement,121.7,2011,septembre
11 - Restaurants et hôtels,111.8,2011,septembre
12 - Biens et services divers,110.1,2011,septembre
Ensemble,110.4,2011,septembre
Produits alimentaires,118.3,2011,septembre
Produits non alimentaires,104.7,2011,septembre
