Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,130.5,2025,juin
02 - Boissons alcoolisées et tabac,144.9,2025,juin
03 - Articles d'habillements et chaussures,117.0,2025,juin
"04 - Logements, eau, électricité et autres combustibles",109.3,2025,juin
"05 - Meubles, articles de ménages et entretien courant du foyer",112.6,2025,juin
06 - Santé,101.4,2025,juin
07 - Transport,115.7,2025,juin
08 - Communication,103.9,2025,juin
09 - Loisirs et culture,105.0,2025,juin
10 - Enseignement,121.8,2025,juin
11 - Restaurants et hôtels,121.4,2025,juin
12 - Biens et services divers,116.7,2025,juin
Ensemble,119.5,2025,juin
Produits alimentaires,131.0,2025,juin
Produits non alimentaires,112.0,2025,juin
