Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,109.4,2022,mars
02 - Boissons alcoolisées et tabac,129.8,2022,mars
03 - Articles d'habillements et chaussures,107.4,2022,mars
"04 - Logements, eau, électricité et autres combustibles",103.3,2022,mars
"05 - Meubles, articles de ménages et entretien courant du foyer",104.5,2022,mars
06 - Santé,101.8,2022,mars
07 - Transport,113.3,2022,mars
08 - Communication,103.8,2022,mars
09 - Loisirs et culture,101.6,2022,mars
10 - Enseignement,111.7,2022,mars
11 - Restaurants et hôtels,105.4,2022,mars
12 - Biens et services divers,109.2,2022,mars
Ensemble,108.0,2022,mars
Produits alimentaires,110.1,2022,mars
Produits non alimentaires,106.6,2022,mars
