Division par produit,ipc,annee,mois
Produits alimentaires,120.0,2012,août
01 - Produits alimentaires et boissons non alcoolisées,120.6,2012,août
02 - Boissons alcoolisées et tabac,108.5,2012,août
Produits non alimentaires,105.5,2012,août
03 - Articles d'habillements et chaussures,108.3,2012,août
"04 - Logements, eau, électricité et autres combustibles",105.3,2012,août
"05 - Meubles, articles de ménages et entretien courant du foyer",107.2,2012,août
06 - Santé,103.9,2012,août
07 - Transport,108.5,2012,août
08 - Communication,65.6,2012,août
09 - Loisirs et culture,97.1,2012,août
10 - Enseignement,122.1,2012,août
11 - Restaurants et hôtels,113.1,2012,août
12 - Biens et services divers,110.7,2012,août
Ensemble,111.5,2012,août
