Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,121.6,2013,mai
02 - Boissons alcoolisées et tabac,115.5,2013,mai
03 - Articles d'habillements et chaussures,109.0,2013,mai
"04 - Logements, eau, électricité et autres combustibles",106.4,2013,mai
"05 - Meubles, articles de ménages et entretien courant du foyer",107.4,2013,mai
06 – Santé,104.5,2013,mai
07 – Transport,109.6,2013,mai
08 – Communication,65.4,2013,mai
09 - Loisirs et culture,97.3,2013,mai
10 – Enseignement,129.6,2013,mai
11 - Restaurants et hôtels,116.6,2013,mai
12 - Biens et services divers,112.0,2013,mai
Ensemble,112.9,2013,mai
Produits alimentaires,121.3,2013,mai
Produits non alimentaires,106.9,2013,mai
