Division par produits,ipc,annee,mois
Produits alimentaires,121.3,2013,juin
01 - Produits alimentaires et boissons non alcoolisées,121.6,2013,juin
02 - Boissons alcoolisées et tabac,115.5,2013,juin
Produits non alimentaires,106.9,2013,juin
03 - Articles d'habillements et chaussures,109.1,2013,juin
"04 - Logements, eau, électricité et autres combustibles",106.5,2013,juin
"05 - Meubles, articles de ménages et entretien courant du foyer",107.3,2013,juin
06 – Santé,104.9,2013,juin
07 – Transport,109.5,2013,juin
08 – Communication,65.4,2013,juin
09 - Loisirs et culture,97.3,2013,juin
10 – Enseignement,129.6,2013,juin
11 - Restaurants et hôtels,116.8,2013,juin
12 - Biens et services divers,111.9,2013,juin
Ensemble,112.9,2013,juin
