Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,102.3,2020,mai
02 - Boissons alcoolisées et tabac,120.2,2020,mai
03 - Articles d'habillements et chaussures,102.7,2020,mai
"04 - Logements, eau, électricité et autres combustibles",101.7,2020,mai
"05 - Meubles, articles de ménages et entretien courant du foyer",100.8,2020,mai
06 - Santé,101.7,2020,mai
07 - Transport,95.9,2020,mai
08 - Communication,103.9,2020,mai
09 - Loisirs et culture,99.3,2020,mai
10 - Enseignement,108.5,2020,mai
11 - Restaurants et hôtels,103.2,2020,mai
12 - Biens et services divers,103.8,2020,mai
Ensemble,102.2,2020,mai
Produits alimentaires,102.9,2020,mai
Produits non alimentaires,101.7,2020,mai
