Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,121.3,2013,novembre
02 - Boissons alcoolisées et tabac,115.6,2013,novembre
03 - Articles d'habillements et chaussures,111.2,2013,novembre
"04 - Logements, eau, électricité et autres combustibles",107.1,2013,novembre
"05 - Meubles, articles de ménages et entretien courant du foyer",107.5,2013,novembre
06 – Santé,105.0,2013,novembre
07 – Transport,110.1,2013,novembre
08 – Communication,59.5,2013,novembre
09 - Loisirs et culture,97.4,2013,novembre
10 – Enseignement,134.2,2013,novembre
11 - Restaurants et hôtels,118.5,2013,novembre
12 - Biens et services divers,112.6,2013,novembre
Ensemble,113.0,2013,novembre
Produits alimentaires,121.0,2013,novembre
Produits non alimentaires,107.4,2013,novembre
