Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,123.7,2015,novembre
02 - Boissons alcoolisées et tabac,122.7,2015,novembre
03 - Articles d'habillements et chaussures,113.6,2015,novembre
"04 - Logements, eau, électricité et autres combustibles",113.1,2015,novembre
"05 - Meubles, articles de ménages et entretien courant du foyer",108.8,2015,novembre
06 - Santé,104.2,2015,novembre
07 - Transport,107.7,2015,novembre
08 - Communication,59.6,2015,novembre
09 - Loisirs et culture,96.9,2015,novembre
10 - Enseignement,141.4,2015,novembre
11 - Restaurants et hôtels,123.6,2015,novembre
12 - Biens et services divers,114.0,2015,novembre
Ensemble,115.4,2015,novembre
Produits alimentaires,123.6,2015,novembre
Produits non alimentaires,109.5,2015,novembre
