Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,115.1,2011,juillet
02 - Boissons alcoolisées et tabac,108.3,2011,juillet
03 - Articles d'habillements et chaussures,105.4,2011,juillet
"04 - Logements, eau, électricité et autres combustibles",104.8,2011,juillet
"05 - Meubles, articles de ménages et entretien courant du foyer",107.2,2011,juillet
06 - Santé,103.0,2011,juillet
07 - Transport,102.9,2011,juillet
08 - Communications,89.2,2011,juillet
09 - Loisirs et culture,96.3,2011,juillet
10 - Enseignement,118.5,2011,juillet
11 - Restaurants et hôtels,111.4,2011,juillet
12 - Biens et services divers,108.9,2011,juillet
Ensemble,108.9,2011,juillet
Produits alimentaires,114.7,2011,juillet
Produits non alimentaires,104.9,2011,juillet
