Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,119.4,2014,juillet
02 - Boissons alcoolisées et tabac,116.4,2014,juillet
03 - Articles d'habillements et chaussures,112.2,2014,juillet
"04 - Logements, eau, électricité et autres combustibles",107.5,2014,juillet
"05 - Meubles, articles de ménages et entretien courant du foyer",108.4,2014,juillet
06 - Santé,103.7,2014,juillet
07 - Transport,114.0,2014,juillet
08 - Communication,59.5,2014,juillet
09 - Loisirs et culture,96.3,2014,juillet
10 - Enseignement,134.2,2014,juillet
11 - Restaurants et hôtels,119.8,2014,juillet
12 - Biens et services divers,113.4,2014,juillet
Ensemble,112.9,2014,juillet
Produits alimentaires,119.3,2014,juillet
Produits non alimentaires,108.4,2014,juillet
