Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,126.9,2016,mai
02 - Boissons alcoolisées et tabac,122.7,2016,mai
03 - Articles d'habillements et chaussures,113.8,2016,mai
"04 - Logements, eau, électricité et autres combustibles",113.9,2016,mai
"05 - Meubles, articles de ménages et entretien courant du foyer",109.1,2016,mai
06 - Santé,104.6,2016,mai
07 - Transport,109.3,2016,mai
08 - Communication,59.5,2016,mai
09 - Loisirs et culture,98.2,2016,mai
10 - Enseignement,141.4,2016,mai
11 - Restaurants et hôtels,125.5,2016,mai
12 - Biens et services divers,114.2,2016,mai
Ensemble,117.1,2016,mai
Produits alimentaires,126.7,2016,mai
Produits non alimentaires,110.3,2016,mai
