Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,123.8,2013,août
02 - Boissons alcoolisées et tabac,115.5,2013,août
03 - Articles d'habillements et chaussures,110.0,2013,août
"04 - Logements, eau, électricité et autres combustibles",106.7,2013,août
"05 - Meubles, articles de ménages et entretien courant du foyer",107.5,2013,août
06 – Santé,104.9,2013,août
07 – Transport,109.6,2013,août
08 – Communication,59.5,2013,août
09 - Loisirs et culture,97.3,2013,août
10 – Enseignement,129.7,2013,août
11 - Restaurants et hôtels,117.5,2013,août
12 - Biens et services divers,112.2,2013,août
Ensemble,113.6,2013,août
Produits alimentaires,123.4,2013,août
Produits non alimentaires,106.8,2013,août
