Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,122.5,2015,mai
02 - Boissons alcoolisées et tabac,118.3,2015,mai
03 - Articles d'habillements et chaussures,112.4,2015,mai
"04 - Logements, eau, électricité et autres combustibles",112.7,2015,mai
"05 - Meubles, articles de ménages et entretien courant du foyer",108.5,2015,mai
06 - Santé,104.1,2015,mai
07 - Transport,110.7,2015,mai
08 - Communication,59.5,2015,mai
09 - Loisirs et culture,96.8,2015,mai
10 - Enseignement,138.5,2015,mai
11 - Restaurants et hôtels,122.1,2015,mai
12 - Biens et services divers,114.2,2015,mai
Ensemble,114.9,2015,mai
Produits alimentaires,122.3,2015,mai
Produits non alimentaires,109.7,2015,mai
