Division par produit,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,111.4,2010,juillet
02 - Boissons alcoolisées et tabac,108.3,2010,juillet
03 - Articles d'habillements et chaussures,103.5,2010,juillet
"04 - Logements, eau, électricité et autres combustibles",104.3,2010,juillet
"05 - Meubles, articles de ménages et entretien courant du foyer",106.1,2010,juillet
06 - Santé,102.9,2010,juillet
07 - Transport,103.3,2010,juillet
08 - Communication,90.5,2010,juillet
09 - Loisirs et culture,96.8,2010,juillet
10 - Enseignement,113.3,2010,juillet
11 - Restaurants et hôtels,109.7,2010,juillet
12 - Biens et services divers,107.0,2010,juillet
Ensemble,107.0,2010,juillet
Produits alimentaires,111.2,2010,juillet
Produits non alimentaires,104.1,2010,juillet
