Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,131.1,2024,août
02 - Boissons alcoolisées et tabac,140.1,2024,août
03 - Articles d'habillements et chaussures,116.1,2024,août
"04 - Logements, eau, électricité et autres combustibles",108.7,2024,août
"05 - Meubles,articles de ménages et entretien courant du foyer",112.2,2024,août
06 - Santé,101.2,2024,août
07 - Transport,120.1,2024,août
08 - Communication,104.1,2024,août
09 - Loisirs et culture,105.6,2024,août
10 - Enseignement,119.1,2024,août
11 - Restaurants et hôtels,119.1,2024,août
12 - Biens et services divers,115.3,2024,août
Ensemble,119.7,2024,août
Produits alimentaires,131.5,2024,août
Produits non alimentaires,112.0,2024,août
