Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,127.7,2017,octobre
02 - Boissons alcoolisées et tabac,125.3,2017,octobre
03 - Articles d'habillements et chaussures,116.1,2017,octobre
"04 - Logements, eau, électricité et autres combustibles",115.6,2017,octobre
"05 - Meubles, articles de ménages et entretien courant du foyer",109.9,2017,octobre
06 - Santé,105.4,2017,octobre
07 - Transport,111.0,2017,octobre
08 - Communication,59.4,2017,octobre
09 - Loisirs et culture,98.9,2017,octobre
10 - Enseignement,148.4,2017,octobre
11 - Restaurants et hôtels,130.6,2017,octobre
12 - Biens et services divers,115.5,2017,octobre
Ensemble,118.6,2017,octobre
Produits alimentaires,127.6,2017,octobre
Produits non alimentaires,112.2,2017,octobre
