Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,129.3,2016,septembre
02 - Boissons alcoolisées et tabac,122.7,2016,septembre
03 - Articles d'habillements et chaussures,114.0,2016,septembre
"04 - Logements, eau, électricité et autres combustibles",114.0,2016,septembre
"05 - Meubles, articles de ménages et entretien courant du foyer",109.3,2016,septembre
06 - Santé,104.5,2016,septembre
07 - Transport,109.4,2016,septembre
08 - Communication,59.5,2016,septembre
09 - Loisirs et culture,98.6,2016,septembre
10 - Enseignement,145.1,2016,septembre
11 - Restaurants et hôtels,126.5,2016,septembre
12 - Biens et services divers,114.4,2016,septembre
Ensemble,118.2,2016,septembre
Produits alimentaires,128.9,2016,septembre
Produits non alimentaires,110.7,2016,septembre
