Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,122.6,2013,septembre
02 - Boissons alcoolisées et tabac,115.5,2013,septembre
03 - Articles d'habillements et chaussures,110.4,2013,septembre
"04 - Logements, eau, électricité et autres combustibles",106.9,2013,septembre
"05 - Meubles, articles de ménages et entretien courant du foyer",107.6,2013,septembre
06 – Santé,104.9,2013,septembre
07 – Transport,111.2,2013,septembre
08 – Communication,59.5,2013,septembre
09 - Loisirs et culture,97.4,2013,septembre
10 – Enseignement,133.6,2013,septembre
11 - Restaurants et hôtels,117.6,2013,septembre
12 - Biens et services divers,112.2,2013,septembre
Ensemble,113.6,2013,septembre
Produits alimentaires,122.2,2013,septembre
Produits non alimentaires,107.4,2013,septembre
