Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,121.3,2013,juillet
02 - Boissons alcoolisées et tabac,115.5,2013,juillet
03 - Articles d'habillements et chaussures,109.5,2013,juillet
"04 - Logements, eau, électricité et autres combustibles",106.5,2013,juillet
"05 - Meubles, articles de ménages et entretien courant du foyer",107.4,2013,juillet
06 – Santé,104.9,2013,juillet
07 – Transport,109.4,2013,juillet
08 – Communication,58.3,2013,juillet
09 - Loisirs et culture,97.3,2013,juillet
10 – Enseignement,129.6,2013,juillet
11 - Restaurants et hôtels,117.1,2013,juillet
12 - Biens et services divers,111.9,2013,juillet
Ensemble,112.5,2013,juillet
Produits alimentaires,121.0,2013,juillet
Produits non alimentaires,106.5,2013,juillet
