Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,112.5,2010,février
02 - Boissons alcoolisées et tabac,108.3,2010,février
03 - Articles d'habillements et chaussures,104.5,2010,février
"04 - Logements, eau, électricité et autres combustibles",104.2,2010,février
"05 - Meubles, articles de ménages et entretien courant du foyer",106.0,2010,février
06 - Santé,102.5,2010,février
07 - Transport,103.5,2010,février
08 - Communication,90.9,2010,février
09 - Loisirs et culture,97.8,2010,février
10 - Enseignement,113.3,2010,février
11 - Restaurants et hôtels,108.2,2010,février
12 - Biens et services divers,106.4,2010,février
Ensemble,107.5,2010,février
Produits alimentaires,112.3,2010,février
Produits non alimentaires,104.1,2010,février
