Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,126.1,2019,octobre
02 - Boissons alcoolisées et tabac,159.4,2019,octobre
03 - Articles d'habillements et chaussures,118.9,2019,octobre
"04 - Logements, eau, électricité et autres combustibles",117.7,2019,octobre
"05 - Meubles, articles de ménages et entretien courant du foyer",112.2,2019,octobre
06 - Santé,107.2,2019,octobre
07 - Transport,113.3,2019,octobre
08 - Communication,59.7,2019,octobre
09 - Loisirs et culture,101.5,2019,octobre
10 - Enseignement,157.0,2019,octobre
11 - Restaurants et hôtels,134.4,2019,octobre
12 - Biens et services divers,123.8,2019,octobre
Ensemble,120.7,2019,octobre
Produits alimentaires,127.3,2019,octobre
Produits non alimentaires,115.4,2019,octobre
