Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,127.5,2018,février
02 - Boissons alcoolisées et tabac,138.5,2018,février
03 - Articles d'habillements et chaussures,116.3,2018,février
"04 - Logements, eau, électricité et autres combustibles",115.7,2018,février
"05 - Meubles, articles de ménages et entretien courant du foyer",110.2,2018,février
06 - Santé,105.5,2018,février
07 - Transport,111.6,2018,février
08 - Communication,59.4,2018,février
09 - Loisirs et culture,99.4,2018,février
10 - Enseignement,148.4,2018,février
11 - Restaurants et hôtels,130.9,2018,février
12 - Biens et services divers,122.1,2018,février
Ensemble,119.5,2018,février
Produits alimentaires,127.8,2018,février
Produits non alimentaires,113.2,2018,février
