Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,129.7,2025,octobre
02 - Boissons alcoolisées et tabac,145.0,2025,octobre
03 - Articles d'habillements et chaussures,117.6,2025,octobre
"04 - Logements, eau, électricité et autres combustibles",109.5,2025,octobre
"05 - Meubles, articles de ménages et entretien courant du foyer",113.0,2025,octobre
06 - Santé,101.5,2025,octobre
07 - Transport,115.9,2025,octobre
08 - Communication,103.8,2025,octobre
09 - Loisirs et culture,105.0,2025,octobre
10 - Enseignement,124.4,2025,octobre
11 - Restaurants et hôtels,122.2,2025,octobre
12 - Biens et services divers,117.4,2025,octobre
Ensemble,119.5,2025,octobre
Produits alimentaires,130.3,2025,octobre
Produits non alimentaires,112.5,2025,octobre
