Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,126.9,2017,janvier
02 - Boissons alcoolisées et tabac,122.7,2017,janvier
03 - Articles d'habillements et chaussures,115.1,2017,janvier
"04 - Logements, eau, électricité et autres combustibles",114.9,2017,janvier
"05 - Meubles,articles de ménages et entretien courant du foyer",109.6,2017,janvier
06 – Santé,104.6,2017,janvier
07 – Transport,110.9,2017,janvier
08 – Communication,59.4,2017,janvier
09 - Loisirs et culture,98.6,2017,janvier
10 – Enseignement,145.5,2017,janvier
11 - Restaurants et hôtels,127.1,2017,janvier
12 - Biens et services divers,114.6,2017,janvier
Ensemble,117.7,2017,janvier
Produits alimentaires,126.7,2017,janvier
Produits non alimentaires,111.4,2017,janvier
