Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,126.1,2018,octobre
02 - Boissons alcoolisées et tabac,138.5,2018,octobre
03 - Articles d'habillements et chaussures,117.3,2018,octobre
"04 - Logements, eau, électricité et autres combustibles",116.7,2018,octobre
"05 - Meubles, articles de ménages et entretien courant du foyer",111.4,2018,octobre
06 - Santé,105.9,2018,octobre
07 - Transport,113.5,2018,octobre
08 - Communication,59.6,2018,octobre
09 - Loisirs et culture,99.7,2018,octobre
10 - Enseignement,153.5,2018,octobre
11 - Restaurants et hôtels,132.6,2018,octobre
12 - Biens et services divers,123.0,2018,octobre
Ensemble,119.9,2018,octobre
Produits alimentaires,126.6,2018,octobre
Produits non alimentaires,114.5,2018,octobre
