Division par produit,ipc,annee,mois
Produits alimentaires,116.0,2010,mars
01 - Produits alimentaires et boissons non alcoolisées,116.5,2010,mars
02 - Boissons alcoolisées et tabac,108.3,2010,mars
Produits non alimentaires,104.0,2010,mars
03 - Articles d'habillements et chaussures,104.3,2010,mars
"04 - Logements, eau, électricité et autres combustibles",104.2,2010,mars
"05 - Meubles, articles de ménages et entretien courant du foyer",106.1,2010,mars
06 - Santé,102.6,2010,mars
07 - Transport,103.3,2010,mars
08 - Communication,90.9,2010,mars
09 - Loisirs et culture,97.6,2010,mars
10 - Enseignement,113.3,2010,mars
11 - Restaurants et hôtels,108.4,2010,mars
12 - Biens et services divers,106.4,2010,mars
Ensemble,109.0,2010,mars
