Division par produits,ipc,annee,mois
01 - Produits alimentaires et boissons non alcoolisées,127.1,2018,août
02 - Boissons alcoolisées et tabac,138.5,2018,août
03 - Articles d'habillements et chaussures,116.7,2018,août
"04 - Logements, eau, électricité et autres combustibles",116.5,2018,août
"05 - Meubles, articles de ménages et entretien courant du foyer",111.2,2018,août
06 - Santé,105.6,2018,août
07 - Transport,112.6,2018,août
08 - Communication,59.2,2018,août
09 - Loisirs et culture,99.6,2018,août
10 - Enseignement,148.4,2018,août
11 - Restaurants et hôtels,132.3,2018,août
12 - Biens et services divers,122.8,2018,août
Ensemble,119.7,2018,août
Produits alimentaires,127.5,2018,août
Produits non alimentaires,113.8,2018,août
